Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
43b63bad-a740-4fb3-9def-2eee55cf1c9c,"2020-05-23, 11:50:58 PM",Admin_Udacity,ListServiceSpecificCredentials,,,,us-east-1,,41.190.14.91
feefbaa4-d945-4b70-b0bb-bf26c08f970a,"2020-05-23, 11:50:58 PM",Admin_Udacity,ListServiceSpecificCredentials,,,,us-east-1,,41.190.14.91
2ea2f7a0-fedf-4d4b-899e-dfc62c6145e8,"2020-05-23, 11:50:28 PM",Admin_Udacity,ListUserTags,,,,us-east-1,,41.190.14.91
4213ff3a-d4c8-493d-9fb2-56c0cab4194b,"2020-05-23, 11:50:28 PM",Admin_Udacity,ListAttachedUserPolicies,,,,us-east-1,,41.190.14.91
a3b52b1b-62f2-4581-bb45-fa608843363e,"2020-05-23, 11:50:28 PM",Admin_Udacity,GetUser,,,,us-east-1,,41.190.14.91
abf75b0e-c3ef-4c1b-9379-348b860d4dde,"2020-05-23, 11:49:49 PM",Admin_Udacity,ListAttachedUserPolicies,,,,us-east-1,,41.190.14.91
e6d39b5a-75f8-43e4-bcf3-6217f3070fcf,"2020-05-23, 11:49:49 PM",Admin_Udacity,GetUser,,,,us-east-1,,41.190.14.91
aa38af06-ee6e-4e22-ae81-8c86b284c5bb,"2020-05-23, 11:49:48 PM",Admin_Udacity,ListUserTags,,,,us-east-1,,41.190.14.91
b1ae91a1-8757-4b05-9dad-1907b2afa850,"2020-05-23, 11:48:34 PM",Admin_Udacity,ListUsers,,,,us-east-1,,41.190.14.91
539a1c06-4f5a-41d3-96ab-2a6b38f0c02d,"2020-05-23, 11:48:31 PM",Admin_Udacity,ListUsers,,,,us-east-1,,41.190.14.91
4336b2c8-982b-41bf-92b1-5ad20d40f33c,"2020-05-23, 11:48:27 PM",Admin_Udacity,GetGroup,,,,us-east-1,,41.190.14.91
4de63a08-d103-4461-8e13-51e0a41a2500,"2020-05-23, 11:48:27 PM",Admin_Udacity,ListGroupsForUser,,,,us-east-1,,41.190.14.91
936aff1c-29b8-47f2-a4ba-b9fe120c014a,"2020-05-23, 11:48:27 PM",Admin_Udacity,RemoveUserFromGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,41.190.14.91
663bc78d-f140-4e22-bdca-b6ac61ceab38,"2020-05-23, 11:48:22 PM",Admin_Udacity,GetGroup,,,,us-east-1,,41.190.14.91
32fb67b1-4482-4bbb-9606-c22925111278,"2020-05-23, 11:48:15 PM",Admin_Udacity,ListGroupsForUser,,,,us-east-1,,41.190.14.91
51bcf2a4-b584-4de1-9dfe-5ffd605680f0,"2020-05-23, 11:48:15 PM",Admin_Udacity,GetGroup,,,,us-east-1,,41.190.14.91
665cb4bd-96b6-4cea-8815-f4f3a66358f9,"2020-05-23, 11:48:15 PM",Admin_Udacity,RemoveUserFromGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,41.190.14.91
d7ca926c-44e4-41b0-bdae-6261406bb58f,"2020-05-23, 11:48:06 PM",Admin_Udacity,GetGroup,,,,us-east-1,,41.190.14.91
413ed04c-b399-46ae-ab68-e10f9eeef1b7,"2020-05-23, 11:48:04 PM",Admin_Udacity,ListGroups,,,,us-east-1,,41.190.14.91
b4332571-e096-4d41-84bf-e4c149b77c6c,"2020-05-23, 11:48:04 PM",Admin_Udacity,ListGroups,,,,us-east-1,,41.190.14.91
24abbdd1-92d4-4c37-94fe-8e0ad72b0fe7,"2020-05-23, 11:47:46 PM",Admin_Udacity,ListPolicies,,,,us-east-1,,41.190.14.91
c2d7abad-a2a7-4032-9fc3-7918d666edc7,"2020-05-23, 11:47:46 PM",Admin_Udacity,ListAccountAliases,,,,us-east-1,,41.190.14.91
237fb53e-ab07-4abf-ac6f-97a4ea2ede6f,"2020-05-23, 11:47:45 PM",Admin_Udacity,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,41.190.14.91
18619aaa-d82c-461b-974b-9736a5bbe59e,"2020-05-23, 11:47:44 PM",Admin_Udacity,ListUsers,,,,us-east-1,,41.190.14.91
2b2d7c3c-832a-4dac-8cf1-8d4209d466e9,"2020-05-23, 11:47:44 PM",Admin_Udacity,GetPolicy,,,,us-east-1,,41.190.14.91
2ec69ab8-2ca1-433a-aa2d-2c79b793363d,"2020-05-23, 11:47:44 PM",Admin_Udacity,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,41.190.14.91
3037b08f-1005-4d0a-aa0c-955ca4188562,"2020-05-23, 11:47:44 PM",Admin_Udacity,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,41.190.14.91
37503df4-1bfa-4577-b651-490a22d1ed89,"2020-05-23, 11:47:44 PM",Admin_Udacity,ListGroupsForUser,,,,us-east-1,,41.190.14.91
6a0309f9-aba5-47d1-991a-9146571297d9,"2020-05-23, 11:47:44 PM",Admin_Udacity,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,41.190.14.91
7e08eb46-e741-41a6-859f-ef0423c0ea1e,"2020-05-23, 11:47:44 PM",Admin_Udacity,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,41.190.14.91
